,# ctrl tonic,# ctrl bursting,# ctrl quiescent,# damgo tonic,# damgo bursting,# damgo quiescent,# damgo + gNaP x 1.1 tonic,# damgo + gNaP x 1.1 bursting,# damgo + gNaP x 1.1 quiescent,# damgo + gNaP x 1.3 tonic,# damgo + gNaP x 1.3 bursting,# damgo + gNaP x 1.3 quiescent,# damgo + gNaP x 1.5 tonic,# damgo + gNaP x 1.5 bursting,# damgo + gNaP x 1.5 quiescent
1,119,15,166,59,10,231,63,45,192,66,169,65,67,204,29
2,118,25,157,61,19,220,66,53,181,71,166,63,78,192,30
3,118,21,161,58,18,224,69,53,178,71,158,71,72,193,35
4,113,24,163,66,16,218,72,59,169,80,147,73,83,179,38
5,122,21,157,67,12,221,72,39,189,73,165,62,78,195,27
6,119,15,166,61,9,230,66,47,187,68,165,67,70,195,35
7,118,24,158,66,16,218,74,51,175,77,148,75,79,180,41
8,113,28,159,61,26,213,71,58,171,77,150,73,79,187,34
9,117,17,166,68,9,223,74,39,187,75,150,75,75,188,37
10,120,19,161,59,15,226,65,53,182,73,167,60,73,193,34
11,121,16,163,68,7,225,72,39,189,75,154,71,76,184,40
12,126,20,154,68,13,219,73,54,173,76,163,61,79,190,31
13,143,9,148,69,8,223,74,51,175,75,171,54,76,199,25
14,128,17,155,62,15,223,68,55,177,73,170,57,76,188,36
15,121,23,156,70,15,215,76,43,181,80,147,73,84,178,38
16,118,18,164,58,15,227,66,48,186,70,162,68,71,191,38
17,107,17,176,56,13,231,64,44,192,67,159,74,70,189,41
18,111,14,175,60,8,232,63,51,186,64,152,84,66,195,39
19,130,21,149,64,17,219,73,48,179,76,166,58,80,189,31
20,96,25,179,50,12,238,56,52,192,60,169,71,63,195,42
21,115,18,167,55,16,229,64,59,177,67,165,68,69,192,39
22,108,25,167,51,21,228,56,68,176,65,167,68,69,201,30
23,120,22,158,61,16,223,67,47,186,71,162,67,77,187,36
24,115,19,166,59,13,228,64,54,182,69,157,74,71,185,44
25,117,26,157,57,22,221,63,62,175,76,161,63,77,195,28
26,122,13,165,66,9,225,68,40,192,70,159,71,71,195,34
27,104,20,176,52,17,231,57,49,194,64,157,79,69,193,38
28,110,26,164,54,19,227,61,50,189,67,165,68,67,200,33
29,115,25,160,62,20,218,66,51,183,70,162,68,71,197,32
30,129,18,153,69,17,214,72,55,173,77,158,65,80,193,27
31,128,26,146,64,15,221,70,57,173,77,170,53,78,197,25
32,116,15,169,57,8,235,61,55,184,62,163,75,65,202,33
33,115,23,162,63,15,222,68,42,190,73,160,67,77,184,39
34,115,16,169,54,15,231,61,51,188,63,169,68,63,202,35
35,102,21,177,53,13,234,58,41,201,61,157,82,64,193,43
36,122,20,158,65,18,217,69,54,177,73,163,64,79,184,37
37,122,21,157,67,17,216,77,47,176,81,144,75,83,187,30
38,111,25,164,56,25,219,63,56,181,72,153,75,73,190,37
39,105,19,176,51,14,235,54,53,193,58,171,71,60,202,38
40,118,26,156,58,23,219,66,64,170,75,164,61,80,188,32
