,ctrl_t_count,ctrl_b_count,ctrl_q_count,damgo_t_count,damgo_b_count,damgo_q_count
1,115,19,166,115,12,173
2,121,23,156,121,10,169
3,119,22,159,118,13,169
4,113,25,162,113,17,170
5,122,19,159,120,5,175
6,121,11,168,121,8,171
7,120,19,161,120,12,168
8,118,22,160,117,16,167
9,117,19,164,116,10,174
10,120,19,161,118,8,174
11,118,20,162,117,8,175
12,129,18,153,123,4,173
13,141,10,149,121,2,177
14,124,23,153,118,7,175
15,126,16,158,123,7,170
16,118,18,164,118,8,174
17,108,15,177,108,13,179
18,107,17,176,107,15,178
19,133,18,149,121,6,173
20,98,23,179,98,22,180
21,118,15,167,118,7,175
22,109,23,168,109,17,174
23,121,20,159,120,6,174
24,114,20,166,113,15,172
25,114,30,156,114,17,169
26,120,14,166,119,3,178
27,102,22,176,102,22,176
28,113,23,164,113,14,173
29,118,23,159,117,13,170
30,129,19,152,125,4,171
31,133,22,145,122,6,172
32,115,15,170,115,9,176
33,113,22,165,113,16,171
34,115,16,169,115,10,175
35,104,17,179,104,17,179
36,120,24,156,119,10,171
37,119,23,158,117,9,174
38,111,25,164,111,20,169
39,105,17,178,105,17,178
40,119,24,157,119,9,172
