random_gl_shutdown,low_gl_shutdown,high_gl_shutdown
5.400000000000001,5.946666666666665,4.453333333333333
5.06,5.8,3.4333333333333336
5.366666666666667,5.9,3.266666666666666
4.793333333333332,5.16,2.56
4.573333333333333,5.64,2.286666666666666
6.3400000000000025,6.44,4.173333333333333
5.093333333333334,5.68,2.1466666666666665
4.433333333333334,5.533333333333334,3.526666666666667
5.16,5.886666666666668,3.826666666666666
4.24,5.48,1.62
5.12,5.920000000000001,3.3666666666666667
5.240000000000001,5.88,4.246666666666666
6.486666666666667,6.413333333333334,5.0
5.086666666666666,5.84,6.1866666666666665
4.746666666666666,6.16,2.5533333333333337
5.366666666666667,6.046666666666668,3.813333333333333
4.746666666666667,4.88,3.640000000000001
5.1800000000000015,5.240000000000001,3.84
5.546666666666668,5.906666666666666,4.1466666666666665
3.7333333333333343,5.36,1.2933333333333332
5.466666666666666,6.453333333333334,2.7533333333333334
5.706666666666668,5.706666666666668,4.160000000000001
3.8866666666666654,5.366666666666667,2.7266666666666666
5.260000000000002,5.240000000000001,3.08
5.686666666666667,6.480000000000001,4.3933333333333335
5.333333333333333,5.7733333333333325,4.8133333333333335
5.0200000000000005,4.12,2.56
6.16,6.4,3.0133333333333336
5.040000000000001,6.02,2.6533333333333333
5.8,6.0,4.873333333333334
6.033333333333334,6.28,3.8333333333333335
7.506666666666668,7.693333333333332,4.000000000000001
4.653333333333333,5.0,4.98
5.373333333333334,5.5200000000000005,3.0333333333333337
5.286666666666668,4.04,2.06
5.300000000000002,5.88,3.26
5.826666666666667,5.98,4.006666666666667
4.866666666666666,5.8199999999999985,5.08
5.553333333333334,4.2,5.1400000000000015
4.94,5.813333333333333,5.306666666666668
